riskType,id,openDate,closeDate,optionSymbol,symbol,fillPrice,initialAsk,maxPrice,preTradeBalance,tradeAmount,pl,postTradeBalance,lastPrice,finalAmount,status,quantity,trim1Price,trim1Quantity,trim1PriceFinal,trim2Price,trim2Quantity,trim2PriceFinal,trimStatus,stopPriceFinal
Lotto,260328020920132,2024-06-18,2024-06-18 05:00:00,SPY240917C0036700,SPY,1.39,1.39,1.78,123482.0,5143.0,-5143,118339.0,0.0,0.0,5,37,2.36,19,0.0,0.0,0,0.0,0,0.0
Lotto,360864566002009,2024-06-19,2024-06-19 04:00:00,NKE240619C0058700,NKE,0.73,0.73,1.06,118339.0,4964.0,9209,127548.0,0.0,0.0,5,68,1.24,34,0.0,0.0,0,0.0,0,0.0
Vision,270719898594326,2024-06-20,2024-06-20 06:00:00,SPY240924P0033600,SPY,0.61,0.61,1.7,127548.0,5368.0,-5368,122180.0,0.0,0.0,5,88,0.0,0,0.0,0.0,0,0.0,0,1.59
Lotto,188223940055965,2024-06-21,2024-06-21 04:00:00,SPY240926P0045200,SPY,0.21,0.21,0.39,122180.0,5124.0,-5124,117056.0,0.0,0.0,5,244,0.36,122,0.36,0.0,0,0.0,1,0.36
Vision,195007534396341,2024-06-24,2024-06-24 06:00:00,QQQ240624C0044200,QQQ,0.15,0.15,0.35,117056.0,4920.0,-4920,112136.0,0.0,0.0,5,328,0.0,0,0.0,0.0,0,0.0,0,0.03
Base,701687142440053,2024-06-25,2024-06-25 04:00:00,SPY241003P0035500,SPY,0.4,0.4,1.13,112136.0,4720.0,5532,117668.0,0.0,0.0,5,118,0.52,59,0.52,0.68,59,0.68,2,0.68
Lotto,153246151275459,2024-06-26,2024-06-26 03:00:00,AMD240626C0037600,AMD,0.55,0.55,1.26,117668.0,4950.0,5107,122775.0,0.0,0.0,5,90,0.94,45,0.94,0.0,0,0.0,1,0.94
Vision,827426989046315,2024-06-27,2024-06-27 06:00:00,SPY241009P0035200,SPY,0.26,0.26,0.46,122775.0,5148.0,-5148,117627.0,0.0,0.0,5,198,0.0,0,0.0,0.0,0,0.0,0,0.19
Vision,807752291172520,2024-06-28,2024-06-28 01:00:00,NKE240628C0050200,NKE,1.5,1.5,3.54,117627.0,4950.0,6396,124023.0,0.0,0.0,5,33,0.0,0,0.0,0.0,0,0.0,0,-0.16
Base,190239385941787,2024-07-01,2024-07-01 04:00:00,XOM240701P0055900,XOM,0.62,0.62,1.37,124023.0,5208.0,7916,131939.0,0.0,0.0,5,84,0.81,42,0.81,1.05,42,1.05,2,1.05
Base,698784463187990,2024-07-02,2024-07-02 05:00:00,SPY241021P0056600,SPY,2.0,2.0,3.8,131939.0,5600.0,11095,143034.0,0.0,0.0,5,28,2.6,14,2.6,3.4,14,3.4,2,3.4
Lotto,945527015107347,2024-07-03,2024-07-03 01:00:00,MCD240703P0039500,MCD,0.73,0.73,1.54,143034.0,5986.0,9178,152212.0,0.0,0.0,5,82,1.24,41,1.24,0.0,0,0.0,1,1.24
Vision,460100091956653,2024-07-04,2024-07-04 02:00:00,SPY241028P0051400,SPY,1.79,1.79,3.54,152212.0,6444.0,-6444,145768.0,0.0,0.0,5,36,0.0,0,0.0,0.0,0,0.0,0,1.8
Vision,175343794787468,2024-07-05,2024-07-05 07:00:00,SPY241031P0046100,SPY,0.31,0.31,0.91,145768.0,6107.0,-6107,139661.0,0.0,0.0,5,197,0.0,0,0.0,0.0,0,0.0,0,0.03
Lotto,796121708805428,2024-07-08,2024-07-08 03:00:00,BAC240708P0032200,BAC,0.66,0.66,1.04,139661.0,5874.0,-5874,133787.0,0.0,0.0,5,89,1.12,45,0.0,0.0,0,0.0,0,0.0
Lotto,474727251404039,2024-07-09,2024-07-09 05:00:00,SPY241107P0054400,SPY,0.64,0.64,0.8,133787.0,5632.0,-5632,128155.0,0.0,0.0,5,88,1.09,44,0.0,0.0,0,0.0,0,0.0
Lotto,815573273237493,2024-07-10,2024-07-10 06:00:00,SPY241111P0053100,SPY,1.48,1.48,2.56,128155.0,5328.0,8127,136282.0,0.0,0.0,5,36,2.52,18,2.52,0.0,0,0.0,1,2.52
Vision,793169032493127,2024-07-11,2024-07-11 03:00:00,LUV240711C0053400,LUV,1.09,1.09,2.95,136282.0,5777.0,9178,145460.0,0.0,0.0,5,53,0.0,0,0.0,0.0,0,0.0,0,2.23
Vision,121074775544820,2024-07-12,2024-07-12 03:00:00,SPX240712P0050200,SPX,0.42,0.42,0.67,145460.0,6090.0,-6090,139370.0,0.0,0.0,5,145,0.0,0,0.0,0.0,0,0.0,0,0.91
Base,325638475438031,2024-07-15,2024-07-15 05:00:00,SPY241124P0041800,SPY,0.74,0.74,1.66,139370.0,5846.0,6048,145418.0,0.0,0.0,5,79,0.96,40,0.96,1.26,39,1.26,2,1.26
Lotto,736412740610837,2024-07-16,2024-07-16 02:00:00,SPY241127P0041900,SPY,1.63,1.63,3.17,145418.0,6031.0,8706,154124.0,0.0,0.0,5,37,2.77,19,2.77,0.0,0,0.0,1,2.77
Lotto,192170389642749,2024-07-17,2024-07-17 01:00:00,HPQ240717P0050400,HPQ,0.53,0.53,0.74,154124.0,6466.0,10417,164541.0,0.0,0.0,5,122,0.9,61,0.0,0.0,0,0.0,0,0.0
Vision,707257516523420,2024-07-18,2024-07-18 06:00:00,SPY241203C0044000,SPY,0.76,0.76,2.13,164541.0,6916.0,-6916,157625.0,0.0,0.0,5,91,0.0,0,0.0,0.0,0,0.0,0,0.45
Base,373615399096147,2024-07-19,2024-07-19 01:00:00,MCD240719P0051100,MCD,0.89,0.89,1.74,157625.0,6586.0,11560,169185.0,0.0,0.0,5,74,1.16,37,1.16,1.51,37,1.51,2,1.51
Lotto,215326500103131,2024-07-22,2024-07-22 02:00:00,SPY241207C0042900,SPY,1.34,1.34,3.27,169185.0,7102.0,12058,181243.0,0.0,0.0,5,53,2.28,27,2.28,0.0,0,0.0,1,2.28
Base,123107813489975,2024-07-23,2024-07-23 03:00:00,SPY241209C0041200,SPY,1.45,1.45,1.76,181243.0,7540.0,14678,195921.0,0.0,0.0,5,52,1.89,26,0.0,2.46,26,0.0,0,0.0
Base,240732700295820,2024-07-24,2024-07-24 06:00:00,SPY241211C0040600,SPY,1.41,1.41,2.17,195921.0,8178.0,-8178,187743.0,0.0,0.0,5,58,1.83,29,1.83,2.4,29,0.0,1,1.83
Base,348730019580718,2024-07-25,2024-07-25 06:00:00,SPY240725P0030500,SPY,1.68,1.68,1.76,187743.0,7896.0,14984,202727.0,0.0,0.0,5,47,2.18,24,0.0,2.86,23,0.0,0,0.0
Lotto,106732878265292,2024-07-26,2024-07-26 02:00:00,SPY241217P0047100,SPY,1.84,1.84,3.07,202727.0,8464.0,11773,214500.0,0.0,0.0,5,46,3.13,23,0.0,0.0,0,0.0,0,0.0
Vision,189845152314397,2024-07-29,2024-07-29 04:00:00,SPY241218P0032000,SPY,0.24,0.24,0.43,214500.0,9000.0,10287,224787.0,0.0,0.0,5,375,0.0,0,0.0,0.0,0,0.0,0,0.37
Vision,773573714811264,2024-07-30,2024-07-30 01:00:00,SPX240730C0031100,SPX,1.24,1.24,2.52,224787.0,9424.0,-9424,215363.0,0.0,0.0,5,76,0.0,0,0.0,0.0,0,0.0,0,2.81
Base,362405572868433,2024-07-31,2024-07-31 04:00:00,SPY241226P0053700,SPY,2.0,2.0,3.07,215363.0,9000.0,-9000,206363.0,0.0,0.0,5,45,2.6,23,2.6,3.4,22,0.0,1,2.6
Base,409169599863378,2024-08-01,2024-08-01 06:00:00,SPX240801P0037000,SPX,1.98,1.98,5.01,206363.0,8712.0,12999,219362.0,0.0,0.0,5,44,2.57,22,2.57,3.37,22,3.37,2,3.37
Vision,866637032598866,2024-08-02,2024-08-02 01:00:00,SPX240802C0059500,SPX,0.52,0.52,1.39,219362.0,9204.0,-9204,210158.0,0.0,0.0,5,177,0.0,0,0.0,0.0,0,0.0,0,0.17
Base,250495223563356,2024-08-05,2024-08-05 04:00:00,SPY250106C0058100,SPY,0.26,0.26,0.43,210158.0,8814.0,-8814,201344.0,0.0,0.0,5,339,0.34,170,0.34,0.44,169,0.0,1,0.34
Vision,931174734508615,2024-08-06,2024-08-06 01:00:00,SPY250111C0030600,SPY,1.65,1.65,3.7,201344.0,8415.0,-8415,192929.0,0.0,0.0,5,51,0.0,0,0.0,0.0,0,0.0,0,3.35
Vision,676405660705584,2024-08-07,2024-08-07 04:00:00,XOM240807C0030300,XOM,1.32,1.32,3.39,192929.0,8052.0,-8052,184877.0,0.0,0.0,5,61,0.0,0,0.0,0.0,0,0.0,0,2.21
Base,267519547554235,2024-08-08,2024-08-08 06:00:00,AXP240808P0043400,AXP,1.87,1.87,2.57,184877.0,7854.0,12449,197326.0,0.0,0.0,5,42,2.43,21,2.43,3.18,21,0.0,1,2.43
Lotto,180900467717436,2024-08-09,2024-08-09 07:00:00,QQQ240809C0051900,QQQ,1.3,1.3,3.15,197326.0,8320.0,11994,209320.0,0.0,0.0,5,64,2.21,32,2.21,0.0,0,0.0,1,2.21
Lotto,954070398578142,2024-08-12,2024-08-12 01:00:00,SPY240812P0059000,SPY,1.33,1.33,3.61,209320.0,8778.0,15216,224536.0,0.0,0.0,5,66,2.26,33,2.26,0.0,0,0.0,1,2.26
Lotto,256095661590736,2024-08-13,2024-08-13 05:00:00,NKE240813P0035500,NKE,0.65,0.65,1.76,224536.0,9425.0,16581,241117.0,0.0,0.0,5,145,1.1,73,1.1,0.0,0,0.0,1,1.1
Lotto,339306205811706,2024-08-14,2024-08-14 06:00:00,SPY250126P0035800,SPY,0.8,0.8,1.63,241117.0,10160.0,-10160,230957.0,0.0,0.0,5,127,1.36,64,1.36,0.0,0,0.0,1,1.36
Base,393563544441385,2024-08-15,2024-08-15 07:00:00,SPY250129P0059200,SPY,1.51,1.51,3.15,230957.0,9664.0,-9664,221293.0,0.0,0.0,5,64,1.96,32,1.96,2.57,32,2.57,2,2.57
Lotto,949689903802630,2024-08-16,2024-08-16 06:00:00,IWM240816C0050200,IWM,0.12,0.12,0.17,221293.0,9300.0,9363,230656.0,0.0,0.0,5,775,0.2,388,0.0,0.0,0,0.0,0,0.0
Base,509222233545409,2024-08-19,2024-08-19 03:00:00,AMD240819C0058000,AMD,0.44,0.44,1.11,230656.0,9680.0,16137,246793.0,0.0,0.0,5,220,0.57,110,0.57,0.75,110,0.75,2,0.75
Lotto,702646768583574,2024-08-20,2024-08-20 07:00:00,QQQ240820P0048500,QQQ,1.1,1.1,1.14,246793.0,10340.0,10486,257279.0,0.0,0.0,5,94,1.87,47,0.0,0.0,0,0.0,0,0.0
Base,633257470717801,2024-08-21,2024-08-21 05:00:00,WMT240821P0056000,WMT,1.68,1.68,3.75,257279.0,10752.0,21197,278476.0,0.0,0.0,5,64,2.18,32,2.18,2.86,32,2.86,2,2.86
Base,344673954986593,2024-08-22,2024-08-22 04:00:00,SPY250211P0038700,SPY,1.68,1.68,4.97,278476.0,11760.0,-11760,266716.0,0.0,0.0,5,70,2.18,35,2.18,2.86,35,2.86,2,2.86
Vision,827572976891561,2024-08-23,2024-08-23 05:00:00,SPY250215P0049700,SPY,0.91,0.91,1.58,266716.0,11193.0,-11193,255523.0,0.0,0.0,5,123,0.0,0,0.0,0.0,0,0.0,0,0.25
Base,308210065816650,2024-08-26,2024-08-26 01:00:00,SPY250220P0036500,SPY,0.35,0.35,0.72,255523.0,10745.0,16895,272418.0,0.0,0.0,5,307,0.45,154,0.45,0.59,153,0.59,2,0.59
Base,230125344181875,2024-08-27,2024-08-27 02:00:00,MCD240827C0044500,MCD,1.8,1.8,3.79,272418.0,11520.0,19980,292398.0,0.0,0.0,5,64,2.34,32,2.34,3.06,32,3.06,2,3.06
Vision,410755931657479,2024-08-28,2024-08-28 07:00:00,SPY250227C0055700,SPY,1.69,1.69,4.19,292398.0,12337.0,21763,314161.0,0.0,0.0,5,73,0.0,0,0.0,0.0,0,0.0,0,2.27
Vision,239635754561837,2024-08-29,2024-08-29 01:00:00,SPY250302P0034600,SPY,1.24,1.24,1.32,314161.0,13144.0,-13144,301017.0,0.0,0.0,5,106,0.0,0,0.0,0.0,0,0.0,0,3.24
Vision,809472631471779,2024-08-30,2024-08-30 01:00:00,AMD240830P0034400,AMD,0.88,0.88,2.01,301017.0,12672.0,22067,323084.0,0.0,0.0,5,144,0.0,0,0.0,0.0,0,0.0,0,-0.28
Vision,550272545037117,2024-09-02,2024-09-02 05:00:00,SPY250308C0037800,SPY,1.81,1.81,2.51,323084.0,13575.0,17786,340870.0,0.0,0.0,5,75,0.0,0,0.0,0.0,0,0.0,0,0.24
Lotto,284884231451920,2024-09-03,2024-09-03 03:00:00,QQQ240903P0045300,QQQ,0.46,0.46,0.68,340870.0,14306.0,-14306,326564.0,0.0,0.0,5,311,0.78,156,0.0,0.0,0,0.0,0,0.0
Base,516491440562863,2024-09-04,2024-09-04 05:00:00,SPY250311P0052200,SPY,1.88,1.88,5.49,326564.0,13724.0,16585,343149.0,0.0,0.0,5,73,2.44,37,2.44,3.2,36,3.2,2,3.2
Vision,370181191043499,2024-09-05,2024-09-05 06:00:00,SPY250314P0043800,SPY,1.02,1.02,2.06,343149.0,14382.0,-14382,328767.0,0.0,0.0,5,141,0.0,0,0.0,0.0,0,0.0,0,-0.12
Lotto,817977892590032,2024-09-06,2024-09-06 03:00:00,AMD240906C0049900,AMD,0.73,0.73,2.14,328767.0,13797.0,-13797,314970.0,0.0,0.0,5,189,1.24,95,1.24,0.0,0,0.0,1,1.24
Lotto,895076974493721,2024-09-09,2024-09-09 02:00:00,MCD240909C0039800,MCD,0.11,0.11,0.23,314970.0,13233.0,20251,335221.0,0.0,0.0,5,1203,0.19,602,0.19,0.0,0,0.0,1,0.19
Vision,136875351364720,2024-09-10,2024-09-10 03:00:00,SPY250329C0049600,SPY,1.13,1.13,1.43,335221.0,14125.0,19537,354758.0,0.0,0.0,5,125,0.0,0,0.0,0.0,0,0.0,0,2.03
Base,450987814940919,2024-09-11,2024-09-11 03:00:00,SPY250401C0035800,SPY,0.98,0.98,1.04,354758.0,14896.0,18129,372887.0,0.0,0.0,5,152,1.27,76,0.0,1.67,76,0.0,0,0.0
Lotto,366332639943829,2024-09-12,2024-09-12 01:00:00,AXP240912C0035200,AXP,0.48,0.48,0.54,372887.0,15648.0,16680,389567.0,0.0,0.0,5,326,0.82,163,0.0,0.0,0,0.0,0,0.0
Base,765887255529776,2024-09-13,2024-09-13 01:00:00,SPY250407P0057200,SPY,1.21,1.21,3.49,389567.0,16335.0,18420,407987.0,0.0,0.0,5,135,1.57,68,1.57,2.06,67,2.06,2,2.06
Lotto,626832810851644,2024-09-16,2024-09-16 07:00:00,SPY250411P0030500,SPY,1.33,1.33,3.98,407987.0,17157.0,-17157,390830.0,0.0,0.0,5,129,2.26,65,2.26,0.0,0,0.0,1,2.26
Vision,357673719312900,2024-09-17,2024-09-17 06:00:00,SPY250416P0054000,SPY,0.52,0.52,0.72,390830.0,16432.0,-16432,374398.0,0.0,0.0,5,316,0.0,0,0.0,0.0,0,0.0,0,1.48
Vision,877196204341783,2024-09-18,2024-09-18 03:00:00,HPQ240918C0034300,HPQ,1.16,1.16,2.76,374398.0,15776.0,28479,402877.0,0.0,0.0,5,136,0.0,0,0.0,0.0,0,0.0,0,2.89
Lotto,591674816361521,2024-09-19,2024-09-19 03:00:00,AMD240919C0038700,AMD,0.69,0.69,1.49,402877.0,16905.0,25898,428775.0,0.0,0.0,5,245,1.17,123,1.17,0.0,0,0.0,1,1.17
Lotto,781187905922190,2024-09-20,2024-09-20 04:00:00,SPY250421C0058500,SPY,1.19,1.19,2.33,428775.0,17969.0,30903,459678.0,0.0,0.0,5,151,2.02,76,2.02,0.0,0,0.0,1,2.02
Base,526571491617856,2024-09-23,2024-09-23 05:00:00,SPY250423P0039500,SPY,1.77,1.77,2.54,459678.0,19293.0,24793,484471.0,0.0,0.0,5,109,2.3,55,2.3,3.01,54,0.0,1,2.3
Lotto,187994222477624,2024-09-24,2024-09-24 06:00:00,SPY250424C0053900,SPY,1.57,1.57,2.49,484471.0,20410.0,-20410,464061.0,0.0,0.0,5,130,2.67,65,0.0,0.0,0,0.0,0,0.0
Lotto,714902084094615,2024-09-25,2024-09-25 05:00:00,LUV240925C0037500,LUV,1.77,1.77,3.68,464061.0,19470.0,-19470,444591.0,0.0,0.0,5,110,3.01,55,3.01,0.0,0,0.0,1,3.01
Base,445865889722430,2024-09-26,2024-09-26 06:00:00,WMT240926P0041700,WMT,0.74,0.74,2.05,444591.0,18648.0,-18648,425943.0,0.0,0.0,5,252,0.96,126,0.96,1.26,126,1.26,2,1.26
Vision,479809153083808,2024-09-27,2024-09-27 07:00:00,SPX240927C0033000,SPX,1.15,1.15,3.01,425943.0,17940.0,32900,458843.0,0.0,0.0,5,156,0.0,0,0.0,0.0,0,0.0,0,3.28
Vision,391614077539035,2024-09-30,2024-09-30 03:00:00,AMD240930C0032300,AMD,1.11,1.11,1.74,458843.0,19314.0,-19314,439529.0,0.0,0.0,5,174,0.0,0,0.0,0.0,0,0.0,0,2.65
Vision,414659784605739,2024-10-01,2024-10-01 04:00:00,BAC241001C0033900,BAC,1.74,1.74,2.97,439529.0,18444.0,-18444,421085.0,0.0,0.0,5,106,0.0,0,0.0,0.0,0,0.0,0,0.18
Base,745228189335992,2024-10-02,2024-10-02 07:00:00,AXP241002P0037000,AXP,0.66,0.66,1.93,421085.0,17688.0,21584,442669.0,0.0,0.0,5,268,0.86,134,0.86,1.12,134,1.12,2,1.12
Base,910047067704361,2024-10-03,2024-10-03 05:00:00,SPX241003P0043400,SPX,0.97,0.97,1.18,442669.0,18624.0,21636,464305.0,0.0,0.0,5,192,1.26,96,0.0,1.65,96,0.0,0,0.0
Base,652051975236216,2024-10-04,2024-10-04 04:00:00,SPY250518C0050800,SPY,0.11,0.11,0.14,464305.0,19503.0,36089,500394.0,0.0,0.0,5,1773,0.14,887,0.14,0.19,886,0.0,1,0.14
Base,928747402630360,2024-10-07,2024-10-07 04:00:00,SPY250522C0046900,SPY,0.69,0.69,1.59,500394.0,21045.0,36305,536699.0,0.0,0.0,5,305,0.9,153,0.9,1.17,152,1.17,2,1.17
Base,849461297326797,2024-10-08,2024-10-08 06:00:00,LUV241008P0055300,LUV,1.92,1.92,3.59,536699.0,22464.0,36330,573029.0,0.0,0.0,5,117,2.5,59,2.5,3.26,58,3.26,2,3.26
Base,483712077034026,2024-10-09,2024-10-09 07:00:00,SPY241009P0030700,SPY,0.83,0.83,0.85,573029.0,24070.0,43864,616893.0,0.0,0.0,5,290,1.08,145,0.0,1.41,145,0.0,0,0.0
Base,705439704126288,2024-10-10,2024-10-10 03:00:00,SPY250602C0044600,SPY,2.0,2.0,5.23,616893.0,26000.0,47345,664238.0,0.0,0.0,5,130,2.6,65,2.6,3.4,65,3.4,2,3.4
Base,600887281906182,2024-10-11,2024-10-11 02:00:00,MCD241011C0034700,MCD,1.84,1.84,4.91,664238.0,27968.0,39488,703726.0,0.0,0.0,5,152,2.39,76,2.39,3.13,76,3.13,2,3.13
Lotto,355277015624028,2024-10-14,2024-10-14 04:00:00,SPY250610C0042500,SPY,1.61,1.61,4.6,703726.0,29624.0,-29624,674102.0,0.0,0.0,5,184,2.74,92,2.74,0.0,0,0.0,1,2.74
Base,277181046241323,2024-10-15,2024-10-15 07:00:00,SPY250614C0039000,SPY,0.46,0.46,1.37,674102.0,28290.0,34004,708106.0,0.0,0.0,5,615,0.6,308,0.6,0.78,307,0.78,2,0.78
Vision,740519155116461,2024-10-16,2024-10-16 05:00:00,SPY250618P0037300,SPY,0.99,0.99,2.84,708106.0,29700.0,-29700,678406.0,0.0,0.0,5,300,0.0,0,0.0,0.0,0,0.0,0,1.57
Lotto,631285825972024,2024-10-17,2024-10-17 06:00:00,SPY250619P0051700,SPY,1.64,1.64,4.33,678406.0,28536.0,35991,714397.0,0.0,0.0,5,174,2.79,87,2.79,0.0,0,0.0,1,2.79
Base,403793299034111,2024-10-18,2024-10-18 02:00:00,SPX241018C0049200,SPX,0.52,0.52,1.33,714397.0,30004.0,-30004,684393.0,0.0,0.0,5,577,0.68,289,0.68,0.88,288,0.88,2,0.88
Base,263634087537481,2024-10-21,2024-10-21 02:00:00,QQQ241021P0047900,QQQ,1.37,1.37,3.68,684393.0,28770.0,48426,732819.0,0.0,0.0,5,210,1.78,105,1.78,2.33,105,2.33,2,2.33
Lotto,501791238681456,2024-10-22,2024-10-22 04:00:00,NKE241022P0030800,NKE,0.69,0.69,1.86,732819.0,30774.0,48030,780849.0,0.0,0.0,5,446,1.17,223,1.17,0.0,0,0.0,1,1.17
Vision,888435668753040,2024-10-23,2024-10-23 02:00:00,SPY250629P0053500,SPY,0.67,0.67,1.44,780849.0,32763.0,41754,822603.0,0.0,0.0,5,489,0.0,0,0.0,0.0,0,0.0,0,1.81
Lotto,625676537248718,2024-10-24,2024-10-24 04:00:00,SPY250701P0036700,SPY,1.17,1.17,1.75,822603.0,34515.0,45280,867883.0,0.0,0.0,5,295,1.99,148,0.0,0.0,0,0.0,0,0.0
Lotto,239549047369864,2024-10-25,2024-10-25 03:00:00,SPY250703C0035000,SPY,0.83,0.83,2.24,867883.0,36437.0,-36437,831446.0,0.0,0.0,5,439,1.41,220,1.41,0.0,0,0.0,1,1.41
Base,232644938352918,2024-10-28,2024-10-28 01:00:00,AXP241028C0042600,AXP,1.4,1.4,3.2,831446.0,34860.0,50199,881645.0,0.0,0.0,5,249,1.82,125,1.82,2.38,124,2.38,2,2.38
Vision,796888762604669,2024-10-29,2024-10-29 06:00:00,MCD241029C0056800,MCD,1.56,1.56,1.98,881645.0,36972.0,67887,949532.0,0.0,0.0,5,237,0.0,0,0.0,0.0,0,0.0,0,4.51
Base,708488164843957,2024-10-30,2024-10-30 06:00:00,SPY250711P0033600,SPY,1.23,1.23,3.08,949532.0,39852.0,61007,1010539.0,0.0,0.0,5,324,1.6,162,1.6,2.09,162,2.09,2,2.09
